Besorolás nélkül;Unrated;NA
12 év felett;Above 12 years;12
15 év felett;Above 15 years;15
18 év felett;Above 18 years;18
Korhatár nélkül;General Audiences;G
Felnõtteknek;Adults Only;NC-17
Szülõi felügyelettel;Parental Guidance Suggested;PG
14 éven aluliaknak nem ajánlott;Parents Strongly Cautioned;PG-13
14 év felett;Restricted;R
14 év felett TV;Restricted, above 14 years;TV-14
Korhatár nélkül TV;General;TV-G
Felnõtteknek TV;Adult audiences only;TV-MA
Szülõi felügyelettel TV;Parental Guidance;TV-PG
Kisgyerekeknek;Age under 7;TV-Y
Gyerekeknek;Age 7 and up;TV-Y7
