A Budapest-mûvelet 1983. Rablás a Szépmûvészeti Múzeumban;Operazione Budapest;Nem fikciós mûvek;2019;60;Olaszország;Gilberto Martinelli;Tóth Eszter Zsófia, Ember Ildikó, Mátrai Erik;
A dunai exodus;A dunai exodus;Nem fikciós mûvek;1998;60;Magyarország;Forgács Péter;;
A karácsonyfa kicsiny fénye;The Littlest Light on the Christmas Tree;Animációs film;2004;60;Egyesült Királyság;John Gentile, Anthony Gentile;;
A mentalista;The Mentlist;Egyéb;2008;60;Amerikai Egyesült Államok;David Barrett, Charles Beeson, Chris Long;Simon Baker, Tim Kang, Robin Tunney;
A Notre Dame-i toronyõr;The Huntchback of Notre Dame;Animációs film;1996;60;Amerikai Egyesült Államok;Gary Trousdale, Kirk Wise;;
A Világ leghíresebb Vasútvonalai - A Velence Simplon Orient Expressz;Wold Class Train - Orient Express;Nem fikciós mûvek;2000;60;Egyesült Királyság;Robert Garofalo;;
A vízilabda Puskása;A vízilabda Puskása;Nem fikciós mûvek;2010;60;Magyarország;Erdõs László;Dr. Kárpáti György;
Anklebreakers vol. 2.;Anklebreakers vol. 2.;Játékfilm;2005;60;Amerikai Egyesült Államok;Aldo Di Cuffa, Jim Podhoretz;Dwyane Wade, LeBron James, Carmelo Anthony;
Az Apolló - program;From the Earth to the Moon;Játékfilm;1998;60;Amerikai Egyesült Államok;Michael Grossman, David Carson;Tom Amandes, Mason Adams, Krista Adair;
Az elfelejtett katona;Az elfelejtett katona;Nem fikciós mûvek;2014;60;Magyarország;Ravasz Balázs;;
Batman training for power;Batman training for power;Animációs film;2004;60;Amerikai Egyesült Államok;Seung Kim, Sam Liu;;
Belevaló titkárnõ;His Private Secretary;Játékfilm;1933;60;Amerikai Egyesült Államok;Phil Whitman;Reginald Barlow, John Wayne, Evalyn Knapp;
Bibliai történetek;The Bible;Játékfilm;1995;60;Amerikai Egyesült Államok;Ismeretlen;;
Bolond Istók;Bolond Istók;Egyéb;1979;60;Magyarország;Szitányi András;;
Callanetics: Callanetics és Yoga;Callanetics: Callanetics és Yoga;Egyéb;1999;60;Magyarország;Ditrói Mária;;
Capoiera II. (I. Capoiera II./II. Werkfilm);Capoiera II. (I. Capoiera II./II. Werkfilm);Egyéb;2008;60;Magyarország;Geo Toth György;;
Capoiera III. (I. Capoiera III./II. Werkfilm);Capoiera III. (I. Capoiera III./II. Werkfilm);Egyéb;2009;60;Magyarország;Sárdy Zoltán;;
